KOD;NAIM;NAIM_FULL;ADDRESS;COMMENT;
0000;ФНС России;Федеральная налоговая служба;,127381,Москва г,,,,Неглинная ул,23,,;
0100;УФНС России по Республике Адыгея;Управление Федеральной налоговой службы по Республике Адыгея;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;"Код ОКПО:16592416. Режим работы понедельник-четверг с 9.00 по 18.00;пятница с 09.00 по 16.45.Перерыв с 13.00 до 13.45. Выходной: суббота, воскресенье.Телефон горячей линии 8(87772)56-80-24"
0101;Межрайонная ИФНС России № 2 по Республике Адыгея;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Адыгея;,385600,Адыгея Респ,Гиагинский р-н,,Гиагинская ст-ца,Советская ул,28,,;"Код ОКПО:44554136. Режим работы:понедельник и среда с 09.00 до 18.00;вторник и четверг с 09.00 до 20.00; пятница с 09.00 по 16.45; первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горячей линии 8(87779)9-70-45"
0102;ТОРМ в Красногвардейском районе Межрайонной ИФНС России № 2 по Республике Адыгея;Территориально-обособленное рабочее место в Красногвардейском районе Межрайонной инспекции Федеральной налоговой службы № 2 по Республике Адыгея;,352320,Адыгея Респ,,,Красногвардейское с,Кооперативная ул,1,,;
0103;ТОРМ в Кошехабльском районе Межрайонной ИФНС России № 2 по Республике Адыгея;Территориально-обособленное рабочее место в Кошехабльском районе Межрайонной инспекции Федеральной налоговой службы № 2 по Республике Адыгея;,352420,Адыгея Респ,Кошехабльский р-н,,Кошехабль аул,Дружбы народов ул,41а,,;
0104;ТОРМ в Майкопском районе Межрайонной ИФНС России № 1 по Республике Адыгея;Территориально-обособленное рабочее место в Майкопском районе Межрайонной инспекции Федеральной налоговой службы № 1 по Республике Адыгея;,385730,Адыгея Респ,Майкопский р-н,,Тульский рп,Московская ул,64,,;
0105;Межрайонная ИФНС России № 1 по Республике Адыгея;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;"Код ОКПО:53001672. Режим работы:понедельник и среда с 9.00 по 18.00;вторник и четверг с 09.00 до 20.00;пятница с 09.00 по 16.45;первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горчей линии 8(8772)53-01-70"
0107;Межрайонная ИФНС России № 3 по Республике Адыгея;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Адыгея;,385100,Адыгея Респ,Тахтамукайский р-н,,Тахтамукай аул,Ленина ул,60/1,,;"Код ОКПО:53005865. Режим работы:понедельник и среда с 9.00 по 18.00; вторник и четверг с 09.00 до 20.00;пятница с 09.00 по 16.45;первая и третья субботы месяца с 10.00 до 15.00. Выходной суббота, воскресенье.Телефон горячей линии 8(87771)9-90-30"
0108;ТОРМ в Шовгеновском районе Межрайонной ИФНС России № 2 по Республике Адыгея;Территориально-обособленное рабочее место в Шовгеновском районе Межрайонной инспекции Федеральной налоговой службы № 2 по Республике Адыгея районе;,353440,Адыгея Респ,Шовгеновский р-н,,Хакуринохабль аул,Шовгенова ул,14,,;
0109;ТОРМ в г.Адыгейске Межрайонной ИФНС России № 3 по Республике Адыгея;Территориально-обособленное рабочее место в г.Адыгейске Межрайонной инспекции Федеральной налоговой службы России № 3 по Республике Адыгея;,353239,Адыгея Респ,Теучежский р-н,Адыгейск г,,Ленина пр-кт,29,,;
0110;ТОРМ в а.Понежукай Теучежского района Межрайонной ИФНС России № 3 по Республике Адыгея;Территориально-обособленное рабочее место в а.Понежукай Теучежского района Межрайонной инспекции Федеральной налоговой службы № 3 по Республике Адыгея;,385230,Адыгея Респ,Теучежский р-н,Понежукай,,Октябрьская,ул,21,,;
0200;УФНС России по Республике Башкортостан;Управление Федеральной налоговой службы по Республике Башкортостан;,450078,,,Уфа г,,Салавата Юлаева пр,55,,;"Код ОКПО:00085781. Режим работы: понедельник-четверг: 08.30-17.30; пятница: 08.30-16.15; Обеденный перерыв с 12.30 до 13.15; Cуббота, воскресенье - выходные дни."
0201;ТОРМ в Абзелиловском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 37 по Республике Башкортостан в Абзелиловском районе;,453620,Башкортостан Респ,Абзелиловский р-н,,Аскарово с,Ленина ул,31,,;"Код ОКПО:12752231. Режим приема: понедельник-четверг: 9.00 - 18.00; Пятница: 9.00 - 16.45; Перерыв на обед: 13.00-13.45 Выходные дни: суббота и воскресенье."
0202;ТОРМ в Альшеевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 31 по Республике Башкортостан в Альшеевском районе;,452120,Башкортостан Респ,Альшеевский р-н,,Раевский пгт,Селькора ул,7,,;"Код ОКПО:31227252. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; Обеденный перерыв с 13.00 до 13.45; третья суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0203;ТОРМ в Архангельском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Архангельском районе;,453030,Башкортостан Респ,Архангельский р-н,,Архангельское с,Советская ул,35,,;"Код ОКПО:31227246. Режим приема: понедельник-пятница: 9.00 - 18.00; суббота, воскресенье: выходные дни."
0204;ТОРМ в Аскинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России№ 33 по Республике Башкортостан в Аскинском районе;,452880,Башкортостан Респ,Аскинский р-н,,Аскино с,Пионерская ул,4,,;"Код ОКПО:31227298. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; перерыв на обед: 12.30-13.15; суббота, воскресенье: выходные дни."
0205;ТОРМ в Аургазинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 3 по Республике Башкортостан в Аургазинском районе;,453480,Башкортостан Респ,Аургазинский р-н,,Толбазы с,Химиков ул,3,,;"Код ОКПО:12752001. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0207;ТОРМ в Бакалинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Бакалинском районе;,452651,Башкортостан Респ,Бакалинский р-н,,Бакалы с,Ленина ул,117,,;"Код ОКПО:12752260. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0208;ТОРМ в Балтачевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Балтачевском районе;,452980,Башкортостан Респ,Балтачевский р-н,,Старобалтачево с,Советская ул,28,,;"Код ОКПО:12752202. Режим приема: понедельник-четверг: 9.00 - 18.00, пятница: 9.00 - 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0210;ТОРМ в Белокатайском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Белокатайском районе;,452580,Башкортостан Респ,Белокатайский р-н,,Новобелокатай с,Советская ул,126,,;"Код ОКПО:31227281. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
