GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
0101;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Адыгея;,385600,Адыгея Респ,Гиагинский р-н,,Гиагинская ст-ца,Советская ул,28,,;8(87779) 9-70-51;Код ОКПО:44554136. Режим работы:понедельник и среда с 09.00 до 18.00вторник и четверг с 09.00 до 20.00 пятница с 09.00 по 16.45 первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горячей линии 8(87779)9-70-45;Управление федерального казначейства по Республике Адыгея;79701000;0105019721;010501001;ГРКЦ НБ РЕСП. АДЫГЕЯ БАНКА РОССИИ;047908001;;40101810100000010003;01014;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Адыгея;385600,Республика Адыгея,станица Гиагинская, ул. Советская, 28;8(87779)9-70-51;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01014;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Адыгея;385600,Республика Адыгея,станица Гиагинская, ул. Советская, 28;8(87779)9-70-51;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0105;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;8(8772) 53-71-33;Код ОКПО:53001672. Режим работы:понедельник и среда с 9.00 по 18.00вторник и четверг с 09.00 до 20.00пятница с 09.00 по 16.45первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горчей линии 8(8772)53-01-70;Управление федерального казначейства по Республике Адыгея;79701000;0105019721;010501001;ГРКЦ НБ РЕСП. АДЫГЕЯ БАНКА РОССИИ;047908001;;40101810100000010003;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0107;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Адыгея;,385100,Адыгея Респ,Тахтамукайский р-н,,Тахтамукай аул,Ленина ул,60/1,,;8(87771) 9-90-10;Код ОКПО:53005865. Режим работы:понедельник и среда с 9.00 по 18.00 вторник и четверг с 09.00 до 20.00пятница с 09.00 по 16.45вторая и четвертая субботы месяца с 10.00 до 15.00. Выходной суббота, воскресенье.Телефон горячей линии 8(87771)9-90-30;Управление федерального казначейства по Республике Адыгея;79701000;0105019721;010501001;ГРКЦ НБ РЕСП. АДЫГЕЯ БАНКА РОССИИ;047908001;;40101810100000010003;01016;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Адыгея;385100,Республика Адыгея,аул Тахтамукай, ул. Ленина, 60/1;8(87771)9-90-10;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01016;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Адыгея;385100,Республика Адыгея,аул Тахтамукай, ул. Ленина, 60/1;8(87771)9-90-10;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0252;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам по Республике Башкортостан;,450078,Башкортостан Респ,,Уфа г,,Кирова ул,109,,;347-252-46-38;Код ОКПО:31229452 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;;;;;;;;;;
0256;Межрайонная инспекция Федеральной налоговой службы № 20 по Республике Башкортостан;,453505,Башкортостан Респ,,Белорецк г,,Кирова ул,48,1,;34792-5-27-85;Код ОКПО:52984402 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0261;Межрайонная инспекция Федеральной налоговой службы № 25 по Республике Башкортостан;,453215,Башкортостан Респ,,Ишимбай г,,Стахановская ул,65,,;34794-3-07-22;Код ОКПО:12752171 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0264;Межрайонная инспекция Федеральной налоговой службы № 29 по Республике Башкортостан;,452683,Башкортостан Респ,,Нефтекамск г,,Строителей ул,19,,;34783-2-28-58, 34783-2-83-41;Код ОКПО:12752202 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0267;Межрайонная инспекция Федеральной налоговой службы № 37 по Республике Башкортостан;,453833,Башкортостан Респ,,Сибай г,,Маяковского ул,31/1,,;34775-2-48-92;Код ОКПО:12752231 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0268;Межрайонная инспекция Федеральной налоговой службы № 3 по Республике Башкортостан;,453100,Башкортостан Респ,,Стерлитамак г,,Октября пр-кт,34,,;3473-23-95-27;Код ОКПО:12752248 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0269;Межрайонная инспекция Федеральной налоговой службы № 27 по Республике Башкортостан;,452750,Башкортостан Респ,,Туймазы г,,Мусы Джалиля ул,13,,;34782-5-91-91;Код ОКПО:12752260 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
