iter	TotalF1
0	0.7227176111
1	0.7647078936
2	0.7589488132
3	0.8089754333
4	0.8114904998
5	0.8074037944
6	0.8201065988
7	0.8270841377
8	0.8263561147
9	0.8273718295
10	0.8315734253
11	0.8354146653
12	0.8362069391
13	0.8362854917
14	0.8367570042
15	0.8361963185
16	0.8366453242
17	0.8375905487
18	0.8386442366
19	0.8392140089
20	0.8390268614
21	0.8406229055
22	0.8408057336
23	0.8404068473
24	0.8418868139
25	0.8443196791
26	0.8440911659
27	0.8454094235
28	0.8459663898
29	0.8467709566
30	0.8476940592
31	0.848070773
32	0.8486689541
33	0.8492160838
34	0.8493938503
35	0.8498179146
36	0.8504617436
37	0.8505915486
38	0.8511813016
39	0.8514903678
