number,year,kode,region,municipalities,total,urban,rural
1,2016,7900000000,Республика Адыгея,Муниципальные образования Республики Адыгея,451480,213542,237938
2,2016,7970100000,Республика Адыгея,Городской округ - Город Майкоп,167350,144055,23295
3,2016,797010000011000,Республика Адыгея,г. Майкоп,144055,144055,0
4,2016,7970300000,Республика Адыгея,Городской округ - Город Адыгейск,15161,12689,2472
5,2016,797030000011000,Республика Адыгея,г. Адыгейск,12689,12689,0
6,2016,7960500000,Республика Адыгея,Гиагинский муниципальный район,31185,0,31185
7,2016,7960540200,Республика Адыгея,Айрюмовское сельское поселение,3100,0,3100
8,2016,7960540700,Республика Адыгея,Гиагинское сельское поселение,15376,0,15376
9,2016,7960541000,Республика Адыгея,Дондуковское сельское поселение,6753,0,6753
10,2016,7960541500,Республика Адыгея,Келермесское сельское поселение,3061,0,3061
11,2016,7960542000,Республика Адыгея,Сергиевское сельское поселение,2895,0,2895
12,2016,7961500000,Республика Адыгея,Кошехабльский муниципальный район,29968,0,29968
13,2016,7961540400,Республика Адыгея,Блечепсинское сельское поселение,3094,0,3094
14,2016,7961540800,Республика Адыгея,Вольненское сельское поселение,4163,0,4163
15,2016,7961541200,Республика Адыгея,Дмитриевское сельское поселение,3593,0,3593
16,2016,7961541500,Республика Адыгея,Егерухайское сельское поселение,1621,0,1621
17,2016,7961541800,Республика Адыгея,Игнатьевское сельское поселение,944,0,944
18,2016,7961542000,Республика Адыгея,Кошехабльское сельское поселение,7183,0,7183
19,2016,7961542500,Республика Адыгея,Майское сельское поселение,2649,0,2649
20,2016,7961543000,Республика Адыгея,Натырбовское сельское поселение,3911,0,3911
21,2016,7961544500,Республика Адыгея,Ходзинское сельское поселение,2810,0,2810
22,2016,7961800000,Республика Адыгея,Красногвардейский муниципальный район,31365,0,31365
23,2016,7961840400,Республика Адыгея,Белосельское сельское поселение,5534,0,5534
24,2016,7961840800,Республика Адыгея,Большесидоровское сельское поселение,2107,0,2107
25,2016,7961841500,Республика Адыгея,Еленовское сельское поселение,3175,0,3175
26,2016,7961842000,Республика Адыгея,Красногвардейское сельское поселение,10833,0,10833
27,2016,7961842500,Республика Адыгея,Садовское сельское поселение,2953,0,2953
28,2016,7961843000,Республика Адыгея,Уляпское сельское поселение,1719,0,1719
29,2016,7961843500,Республика Адыгея,Хатукайское сельское поселение,5044,0,5044
30,2016,7962200000,Республика Адыгея,Майкопский муниципальный район,60097,0,60097
31,2016,7962240200,Республика Адыгея,Абадзехское сельское поселение,6414,0,6414
32,2016,7962240700,Республика Адыгея,Даховское сельское поселение,2784,0,2784
33,2016,7962242000,Республика Адыгея,Кировское сельское поселение,6089,0,6089
34,2016,7962242500,Республика Адыгея,Краснооктябрьское сельское поселение,11473,0,11473
35,2016,7962242800,Республика Адыгея,Красноульское сельское поселение,1846,0,1846
36,2016,7962243400,Республика Адыгея,Кужорское сельское поселение,4162,0,4162
37,2016,7962244700,Республика Адыгея,Победенское сельское поселение,5284,0,5284
38,2016,7962245200,Республика Адыгея,Тимирязевское сельское поселение,3847,0,3847
39,2016,7962245500,Республика Адыгея,Тульское сельское поселение,10870,0,10870
40,2016,7962245700,Республика Адыгея,Каменномостское сельское поселение,7328,0,7328
41,2016,7963000000,Республика Адыгея,Тахтамукайский муниципальный район,78925,51130,27795
42,2016,7963015700,Республика Адыгея,Городское поселение пгт. Энем,21775,19091,2684
43,2016,796301570511000,Республика Адыгея,пгт. Энем,19091,19091,0
44,2016,7963015900,Республика Адыгея,Городское поселение пгт. Яблоновский,34332,32039,2293
45,2016,796301590511000,Республика Адыгея,пгт. Яблоновский,32039,32039,0
46,2016,7963040500,Республика Адыгея,Афипсипское сельское поселение,5037,0,5037
47,2016,7963041700,Республика Адыгея,Козетское сельское поселение,5852,0,5852
48,2016,7963041500,Республика Адыгея,Старобжегокайское сельское поселение,2058,0,2058
49,2016,7963042000,Республика Адыгея,Тахтамукайское сельское поселение,2037,0,2037
50,2016,7963041900,Республика Адыгея,Шенджийское сельское поселение,7834,0,7834
51,2016,7963300000,Республика Адыгея,Теучежский муниципальный район,20988,5668,15320
52,2016,7963315500,Республика Адыгея,Городское поселение пгт. Тлюстенхабль,6048,5668,380
53,2016,796331550511000,Республика Адыгея,пгт. Тлюстенхабль,5668,5668,0
54,2016,7963340500,Республика Адыгея,Ассоколайское сельское поселение,1813,0,1813
55,2016,7963341000,Республика Адыгея,Вочепшийское сельское поселение,1531,0,1531
56,2016,7963341500,Республика Адыгея,Джиджихабльское сельское поселение,1784,0,1784
57,2016,7963343000,Республика Адыгея,Понежукайское сельское поселение,5090,0,5090
58,2016,7963343300,Республика Адыгея,Пчегатлукайское сельское поселение,1916,0,1916
59,2016,7963344500,Республика Адыгея,Габукайское сельское поселение,2806,0,2806
60,2016,7964000000,Республика Адыгея,Шовгеновский муниципальный район,16441,0,16441
61,2016,7964040500,Республика Адыгея,Джерокайское сельское поселение,1552,0,1552
62,2016,7964040800,Республика Адыгея,Дукмасовское сельское поселение,2035,0,2035
63,2016,7964041200,Республика Адыгея,Заревское сельское поселение,2636,0,2636
64,2016,7964043500,Республика Адыгея,Мамхегское сельское поселение,3918,0,3918
65,2016,7964042500,Республика Адыгея,Хатажукайское сельское поселение,4277,0,4277
66,2016,7964043000,Республика Адыгея,Хакуринохабльское сельское поселение,2023,0,2023
67,2016,8400000000,Республика Алтай,Муниципальные образования Республики Алтай,215161,62861,152300
68,2016,8470100000,Республика Алтай,Городской округ - г. Горно-Алтайск,62861,62861,0
69,2016,847010000011001,Республика Алтай,г. Горно-Алтайск,62861,62861,0
70,2016,8461000021,Республика Алтай,Кош-Агачский муниципальный район,18814,0,18814
71,2016,8461040521,Республика Алтай,Бельтирское сельское поселение,1325,0,1325
72,2016,8461041021,Республика Алтай,Джазаторское сельское поселение,1354,0,1354
73,2016,8461042021,Республика Алтай,Казахское сельское поселение,799,0,799
74,2016,8461042521,Республика Алтай,Кокоринское сельское поселение,941,0,941
75,2016,8461043021,Республика Алтай,Кош-Агачское сельское поселение,9212,0,9212
76,2016,8461043521,Республика Алтай,Курайское сельское поселение,1212,0,1212
77,2016,8461044521,Республика Алтай,Мухор-Тархатинское сельское поселение,807,0,807
78,2016,8461045521,Республика Алтай,Ортолыкское сельское поселение,658,0,658
79,2016,8461046421,Республика Алтай,Ташантинское сельское поселение,547,0,547
80,2016,8461046521,Республика Алтай,Тобелерское сельское поселение,915,0,915
81,2016,8461047021,Республика Алтай,Теленгит-Сортогойское сельское поселение,605,0,605
82,2016,8461048021,Республика Алтай,Чаган-Узунское сельское поселение,439,0,439
83,2016,8461500000,Республика Алтай,Майминский муниципальный район,31932,0,31932
84,2016,8461540701,Республика Алтай,Бирюлинское сельское поселение,1495,0,1495
85,2016,8461541200,Республика Алтай,Верх-Карагужское сельское поселение,481,0,481
86,2016,8461542501,Республика Алтай,Кызыл-Озекское сельское поселение,6779,0,6779
87,2016,8461543000,Республика Алтай,Майминское сельское поселение,19341,0,19341
88,2016,8461543500,Республика Алтай,Манжерокское сельское поселение,1734,0,1734
89,2016,8461544500,Республика Алтай,Соузгинское сельское поселение,1415,0,1415
90,2016,8461545500,Республика Алтай,Усть-Мунинское сельское поселение,687,0,687
91,2016,8462000000,Республика Алтай,Онгудайский муниципальный район,14339,0,14339
92,2016,8462041000,Республика Алтай,Елинское сельское поселение,1239,0,1239
93,2016,8462042000,Республика Алтай,Ининское сельское поселение,1593,0,1593
94,2016,8462042500,Республика Алтай,Каракольское сельское поселение,998,0,998
95,2016,8462043000,Республика Алтай,Куладинское сельское поселение,729,0,729
96,2016,8462043500,Республика Алтай,Купчегенское сельское поселение,783,0,783
97,2016,8462044000,Республика Алтай,Нижне-Талдинское сельское поселение,509,0,509
98,2016,8462044500,Республика Алтай,Онгудайское сельское поселение,5586,0,5586
99,2016,8462045500,Республика Алтай,Теньгинское сельское поселение,1671,0,1671
100,2016,8462046000,Республика Алтай,Хабаровское сельское поселение,540,0,540
101,2016,8462046500,Республика Алтай,Шашикманское сельское поселение,691,0,691
102,2016,8462500001,Республика Алтай,Турочакский муниципальный район,12305,0,12305
103,2016,8462540501,Республика Алтай,Артыбашское сельское поселение,2146,0,2146
104,2016,8462541001,Республика Алтай,Бийкинское сельское поселение,615,0,615
105,2016,8462542001,Республика Алтай,Дмитриевское сельское поселение,768,0,768
106,2016,8462544001,Республика Алтай,Кебезенское сельское поселение,1123,0,1123
107,2016,8462544501,Республика Алтай,Курмач-Байгольское сельское поселение,242,0,242
108,2016,8462545501,Республика Алтай,Майское сельское поселение,131,0,131
109,2016,8462546001,Республика Алтай,Озеро-Куреевское сельское поселение,523,0,523
110,2016,8462547001,Республика Алтай,Тондошенское сельское поселение,891,0,891
111,2016,8462547501,Республика Алтай,Турочакское сельское поселение,5866,0,5866
112,2016,8463000021,Республика Алтай,Улаганский муниципальный район,11375,0,11375
113,2016,8463040521,Республика Алтай,Акташское сельское поселение,2418,0,2418
