iter	Passed	Remaining
0	2239	87328
1	4316	82007
2	6563	80950
3	8615	77537
4	10708	74956
5	12855	72847
6	14766	69611
7	16749	66996
8	18784	64702
9	20867	62602
10	22705	59859
11	24625	57459
12	26942	55957
13	29246	54314
14	31190	51983
15	33151	49727
16	35319	47784
17	37426	45743
18	39557	43721
19	41804	41804
20	44045	39851
21	46118	37733
22	48174	35607
23	50095	33397
24	52070	31242
25	53832	28986
26	56048	26986
27	58011	24862
28	59651	22626
29	61545	20515
30	63495	18434
31	65491	16372
32	67504	14319
33	69218	12215
34	71271	10181
35	72937	8104
36	74904	6073
37	76988	4052
38	79024	2026
39	81343	0
